Permission,Count,total,pct
Web Request Blocking,357,1850,0.19297297297297297
Web Request,417,1850,0.2254054054054054
Web Navigation,231,1850,0.12486486486486487
Wallpaper,0,1850,0.0
Vpn Provider,0,1850,0.0
Unlimited Storage,899,1850,0.4859459459459459
Tts Engine,1,1850,0.0005405405405405405
Tts,15,1850,0.008108108108108109
Top Sites,699,1850,0.37783783783783786
Tabs,1716,1850,0.9275675675675675
Tab Capture,21,1850,0.011351351351351352
System.Storage,1,1850,0.0005405405405405405
System.Memory,5,1850,0.002702702702702703
System.Display,5,1850,0.002702702702702703
System.Cpu,7,1850,0.0037837837837837837
Storage,1728,1850,0.9340540540540541
Signed In Devices,0,1850,0.0
Sessions,10,1850,0.005405405405405406
Proxy,54,1850,0.02918918918918919
Processes,0,1850,0.0
Privacy,31,1850,0.016756756756756756
Printer Provider,0,1850,0.0
Power,7,1850,0.0037837837837837837
Platform Keys,0,1850,0.0
Page Capture,8,1850,0.004324324324324324
Notifications,1006,1850,0.5437837837837838
Networking.Config,0,1850,0.0
Native Messaging,52,1850,0.02810810810810811
Management,777,1850,0.42
Idltest,0,1850,0.0
Idle,80,1850,0.043243243243243246
Identity,109,1850,0.05891891891891892
History,59,1850,0.03189189189189189
Geolocation,57,1850,0.030810810810810812
Gcm,32,1850,0.017297297297297298
Font Settings,8,1850,0.004324324324324324
File System Provider,0,1850,0.0
File Browser Handler,5,1850,0.002702702702702703
Experimental,0,1850,0.0
enterprise.platformKeys,0,1850,0.0
enterprise.hardwarePlatform,0,1850,0.0
enterprise.deviceAttributes,1,1850,0.0005405405405405405
Downloads,76,1850,0.04108108108108108
Document Scan,0,1850,0.0
Dns,0,1850,0.0
Display Source,0,1850,0.0
Desktop Capture,27,1850,0.014594594594594595
Declarative Web Request,1,1850,0.0005405405405405405
Declarative Net Request,0,1850,0.0
Declarative Content,24,1850,0.012972972972972972
Debugger,8,1850,0.004324324324324324
Cookies,945,1850,0.5108108108108108
Context Menus,1113,1850,0.6016216216216216
Content Settings,12,1850,0.006486486486486486
Clipboard Write,78,1850,0.04216216216216216
Clipboard Read,32,1850,0.017297297297297298
Certificate Provider,0,1850,0.0
Browsing Data,19,1850,0.01027027027027027
Bookmarks,68,1850,0.036756756756756756
Background,85,1850,0.04594594594594595
Alarms,205,1850,0.11081081081081082
Active Tab,403,1850,0.21783783783783783
